Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST2021153,2021,PPL00002,*None,1.200,Length measured,,No width measured,,No full units counted,,No material scrapped,35.11,Unit price available,.14,14%,36.95789474,20210101,445,-1.00,15.00,m,1,Insert,2021/12/01,9,30.798245614035089,1.200000000000000,1.2,0,36.957894736842107,-1071607683,0,The data value violates integrity constraints.

ST2021154,2021,PPL00003,*None,.720,Length measured,,No width measured,,No full units counted,,No material scrapped,67.68,Unit price available,.14,14%,42.74526316,20210101,446,-1.00,25.00,m,1,Insert,2021/12/01,9,59.368421052631582,.720000000000000,0.71999999999999997,0,42.74526315789474,-1071607683,0,The data value violates integrity constraints.

ST2021155,2021,PPL00004,*None,.585,Length measured,,No width measured,,No full units counted,,No material scrapped,113.65,Unit price available,.14,14%,58.320394739999998,20210101,447,-1.00,30.00,m,1,Insert,2021/12/01,9,99.692982456140356,.585000000000000,0.58499999999999996,0,58.320394736842104,-1071607683,0,The data value violates integrity constraints.

ST2021156,2021,PPL00005,*None,.215,Length measured,,No width measured,,No full units counted,,No material scrapped,146.06,Unit price available,.14,14%,27.546403510000001,20210101,448,-1.00,35.00,m,1,Insert,2021/12/01,9,128.12280701754386,.215000000000000,0.215,0,27.546403508771931,-1071607683,0,The data value violates integrity constraints.

ST2021157,2021,PPL00006,*None,.210,Length measured,,No width measured,,No full units counted,,No material scrapped,172.01,Unit price available,.14,14%,31.686052629999999,20210101,449,-1.00,40.00,m,1,Insert,2021/12/01,9,150.88596491228071,.210000000000000,0.20999999999999999,0,31.686052631578949,-1071607683,0,The data value violates integrity constraints.

ST2021158,2021,PPL00007,*None,.150,Length measured,,No width measured,,No full units counted,,No material scrapped,316.04,Unit price available,.14,14%,41.58421053,20210101,450,-1.00,50.00,m,1,Insert,2021/12/01,9,277.22807017543857,.150000000000000,0.14999999999999999,0,41.584210526315786,-1071607683,0,The data value violates integrity constraints.

ST2021159,2021,PPL00008,*None,.000,Length measured,,No width measured,,No full units counted,,No material scrapped,407.03,Unit price available,.14,14%,0,20210101,451,-1.00,60.00,m,1,Insert,2021/12/01,9,357.04385964912279,.000000000000000,0,0,0,-1071607683,0,The data value violates integrity constraints.

